"id","orderId","productId","sellerId","productName","category","price","quantity","subtotal"
"ori_0001","ord_0001","prd_015","sel_06","Whole Wheat Sourdough Loaf","Baked Goods","299","1","299"
"ori_0002","ord_0002","prd_006","sel_02","Coconut Chutney Powder","Food","179","1","179"
"ori_0003","ord_0003","prd_035","sel_14","South Indian Filter Coffee Powder","Food","349","1","349"
"ori_0004","ord_0003","prd_027","sel_10","Block-Printed Cotton Dupatta","Clothing","749","2","1498"
"ori_0005","ord_0004","prd_010","sel_04","Chikankari Embroidered Kurta","Clothing","1899","1","1899"
"ori_0006","ord_0005","prd_023","sel_09","Coir Door Mat","Handicrafts","349","3","1047"
"ori_0007","ord_0006","prd_025","sel_10","Block-Printed Cotton Saree","Clothing","2199","2","4398"
"ori_0008","ord_0006","prd_006","sel_02","Coconut Chutney Powder","Food","179","3","537"
"ori_0009","ord_0006","prd_036","sel_14","Filter Coffee Gift Set","Food","799","3","2397"
"ori_0010","ord_0007","prd_015","sel_06","Whole Wheat Sourdough Loaf","Baked Goods","299","2","598"
"ori_0011","ord_0008","prd_024","sel_09","Jute Storage Basket","Handicrafts","549","1","549"
"ori_0012","ord_0009","prd_044","sel_18","Warli Art Tote Bag","Other","399","1","399"
"ori_0013","ord_0009","prd_042","sel_17","Chikankari Handkerchief Set","Other","299","3","897"
"ori_0014","ord_0010","prd_041","sel_17","Chikankari Cotton Kurta Set","Clothing","2199","3","6597"
"ori_0015","ord_0011","prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","2","1798"
"ori_0016","ord_0012","prd_021","sel_08","Homemade Papad Pack","Food","149","2","298"
"ori_0017","ord_0012","prd_014","sel_05","Silver Anklet Pair","Jewelry","999","2","1998"
"ori_0018","ord_0012","prd_042","sel_17","Chikankari Handkerchief Set","Other","299","3","897"
"ori_0019","ord_0013","prd_035","sel_14","South Indian Filter Coffee Powder","Food","349","3","1047"
"ori_0020","ord_0013","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","3","747"
"ori_0021","ord_0014","prd_009","sel_03","Terracotta Planter Trio","Handicrafts","799","1","799"
"ori_0022","ord_0014","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","1","449"
"ori_0023","ord_0014","prd_032","sel_12","Terracotta Wall Hanging","Handicrafts","699","1","699"
"ori_0024","ord_0015","prd_005","sel_02","Kerala Spice Box","Food","499","2","998"
"ori_0025","ord_0016","prd_001","sel_01","Handwoven Cotton Shawl","Clothing","1299","3","3897"
"ori_0026","ord_0016","prd_044","sel_18","Warli Art Tote Bag","Other","399","3","1197"
"ori_0027","ord_0016","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","2","898"
"ori_0028","ord_0017","prd_017","sel_06","Banana Walnut Bread","Baked Goods","249","3","747"
"ori_0029","ord_0018","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","1","449"
"ori_0030","ord_0018","prd_039","sel_16","Brass Diya Set of 5","Handicrafts","599","1","599"
"ori_0031","ord_0019","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","2","898"
"ori_0032","ord_0020","prd_006","sel_02","Coconut Chutney Powder","Food","179","1","179"
"ori_0033","ord_0021","prd_036","sel_14","Filter Coffee Gift Set","Food","799","1","799"
"ori_0034","ord_0022","prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","3","3897"
"ori_0035","ord_0023","prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","1","449"
"ori_0036","ord_0024","prd_038","sel_15","Hand-Knitted Baby Sweater","Clothing","649","1","649"
"ori_0037","ord_0025","prd_022","sel_08","Rajma Masala Mix","Food","189","1","189"
"ori_0038","ord_0025","prd_005","sel_02","Kerala Spice Box","Food","499","2","998"
"ori_0039","ord_0025","prd_033","sel_13","Macrame Plant Hanger","Home & Decor","449","3","1347"
"ori_0040","ord_0026","prd_037","sel_15","Hand-Knitted Wool Scarf","Clothing","799","1","799"
"ori_0041","ord_0026","prd_031","sel_12","Terracotta Jhumka Earrings","Jewelry","349","2","698"
"ori_0042","ord_0027","prd_028","sel_11","Coconut & Lavender Soap Bar","Beauty","199","2","398"
"ori_0043","ord_0028","prd_007","sel_03","Hand-Thrown Ceramic Bowl Set","Handicrafts","1099","3","3297"
