"id","sellerId","name","category","price","stock","description","image","createdAt"
"prd_001","sel_01","Handwoven Cotton Shawl","Clothing","1299","14","Soft handwoven shawl made from organic cotton on a traditional pit loom.","assets/products/default-clothing.jpg","2025-02-03"
"prd_002","sel_01","Block-Printed Table Runner","Home & Decor","649","22","Hand block-printed cotton table runner with a floral motif.","assets/products/default-home-and-decor.jpg","2025-02-05"
"prd_003","sel_01","Rajasthani Cushion Cover Set","Home & Decor","899","18","Set of two cushion covers featuring traditional Rajasthani mirror work.","assets/products/default-home-and-decor.jpg","2025-02-07"
"prd_004","sel_02","Homemade Mango Pickle","Food","249","40","Tangy raw mango pickle made in small batches using a family recipe, no preservatives.","assets/products/default-food.jpg","2025-02-09"
"prd_005","sel_02","Kerala Spice Box","Food","499","25","A curated box of seven essential South Indian spice blends.","assets/products/default-food.jpg","2025-02-11"
"prd_006","sel_02","Coconut Chutney Powder","Food","179","35","Roasted coconut and lentil chutney powder, ready to mix with oil.","assets/products/default-food.jpg","2025-02-13"
"prd_007","sel_03","Hand-Thrown Ceramic Bowl Set","Handicrafts","1099","12","Set of four hand-thrown stoneware bowls, microwave and dishwasher safe.","assets/products/default-handicrafts.jpg","2025-02-15"
"prd_008","sel_03","Ceramic Pour-Over Coffee Mug","Handicrafts","449","30","Minimalist ceramic mug glazed in a soft matte finish.","assets/products/default-handicrafts.jpg","2025-02-17"
"prd_009","sel_03","Terracotta Planter Trio","Handicrafts","799","20","Three hand-thrown terracotta planters in graduated sizes, unglazed.","assets/products/default-handicrafts.jpg","2025-02-19"
"prd_010","sel_04","Chikankari Embroidered Kurta","Clothing","1899","10","Hand-embroidered chikankari kurta on soft mulmul cotton.","assets/products/default-clothing.jpg","2025-02-21"
"prd_011","sel_04","Embroidered Silk Dupatta","Clothing","1499","15","Fine silk dupatta with hand embroidery along the borders.","assets/products/default-clothing.jpg","2025-02-23"
"prd_012","sel_05","Temple-Design Silver Earrings","Jewelry","1599","16","Sterling silver drop earrings inspired by South Indian temple carvings.","assets/products/default-jewelry.jpg","2025-02-25"
"prd_013","sel_05","Minimalist Silver Bangle Set","Jewelry","1299","20","Set of three thin sterling silver bangles with a brushed finish.","assets/products/default-jewelry.jpg","2025-02-27"
