"id","userId","storeName","bio","city"
"sel_01","usr_sel_01","Anita's Weaves","Handwoven textiles and home linens rooted in Rajasthani tradition.","Jaipur"
"sel_02","usr_sel_02","Meera's Spice Kitchen","Small-batch pickles and spice blends made from her grandmother's recipes.","Kochi"
"sel_03","usr_sel_03","Priya's Pottery Studio","Hand-thrown ceramic homeware fired in a small backyard kiln.","Ahmedabad"
"sel_04","usr_sel_04","Fatima's Embroidery House","Intricate hand embroidery on cotton and silk garments.","Lucknow"
"sel_05","usr_sel_05","Kavya's Silver Studio","Minimalist sterling silver jewelry inspired by South Indian temple art.","Hyderabad"
"sel_06","usr_sel_06","Sunita's Bakehouse","Whole-wheat sourdough and millet cookies baked fresh every morning.","Dehradun"
"sel_07","usr_sel_07","Lakshmi's Candle Co.","Soy wax candles scented with sandalwood, jasmine, and vetiver.","Chennai"
"sel_08","usr_sel_08","Rani's Punjabi Kitchen","Traditional achaar, papad, and ready-to-cook masalas.","Amritsar"
"sel_09","usr_sel_09","Deepa's Coir Crafts","Eco-friendly coir and jute home decor handmade by a women's collective.","Kozhikode"
"sel_10","usr_sel_10","Sneha's Block Prints","Hand block-printed cotton fabrics using natural dyes.","Bagru"
"sel_11","usr_sel_11","Divya's Soap Studio","Cold-process soaps made with coconut oil and local botanicals.","Thiruvananthapuram"
"sel_12","usr_sel_12","Nandita's Terracotta","Terracotta jewelry and decor pieces inspired by Bengal folk art.","Kolkata"
"sel_13","usr_sel_13","Pooja's Macrame Studio","Handknotted macrame wall hangings and plant hangers.","Jodhpur"
"sel_14","usr_sel_14","Radhika's Filter Coffee","Single-origin filter coffee powder roasted in small batches.","Coimbatore"
"sel_15","usr_sel_15","Geeta's Woolens","Hand-knitted woolen sweaters, scarves, and baby wear.","Shimla"
"sel_16","usr_sel_16","Vidya's Brass Works","Traditional brass and bell-metal kitchenware and diyas.","Thanjavur"
"sel_17","usr_sel_17","Ayesha's Chikankari","Authentic Lucknowi chikankari kurtas and dupattas.","Lucknow"
"sel_18","usr_sel_18","Manisha's Warli Art","Warli tribal art on canvas, tote bags, and home decor.","Nashik"
